date,customer_id,customer_name,salesperson,product,quantity,unit_price
2019-04-03,655,Scott Perez,Segun,Laptop,3,1000
2020-05-25,143,Patricia Warren,Andiswa,Bluetooth Keyboard,1,100
2020-01-22,33,Deborah White,James,Tablet,2,900
2023-06-29,617,Jeffrey Rogers,Buhari,Bluetooth Keyboard,2,100
2020-10-14,719,Johnny Bauer,Andiswa,External Hard Drive,2,120
2023-02-03,285,Lindsay Banks,Buhari,Headphones,4,50
2023-10-24,160,Bobby Knight,Edmund,VR Headset,1,500
2019-09-25,100,Frank Fischer,Zolile,Portable Speaker,5,230
2023-09-30,45,Cameron Moody,Nolo,Bluetooth Keyboard,1,100
2022-03-16,388,Monica Rivera,Oludare,Bluetooth Keyboard,3,100
2019-10-20,634,Ralph Ferguson,Zolile,Smart Home Hub,2,200
2022-09-11,47,Dr. Wendy Garcia DVM,Edmund,Wireless Earbuds,1,200
2021-08-04,888,Nathan Williams,Segun,E-reader,3,120
2023-10-10,855,Melissa Fisher,Zolile,Headphones,3,50
2021-04-11,687,Christina Herrera,James,Tablet,5,900
2023-09-11,547,Zachary Nelson,Edmund,,4,
2024-01-22,948,Sheila Lane,Andiswa,Fitness Tracker,3,430
2022-02-01,795,Tammy Park,Buhari,,1,
2023-08-31,411,Lauren Oliver,James,Tablet,2,900
2020-06-21,581,April Benson,Zolile,Digital Camera,4,780
2021-03-08,937,Nicholas Weiss,Nolo,Smartwatch,3,200
2023-08-26,763,Karen Braun,Andiswa,Bluetooth Keyboard,3,100
2020-09-05,439,Keith Bauer,Mbali,Portable Speaker,2,230
2021-10-25,142,Lauren Andrews,Andiswa,Printer,1,300
2022-08-14,882,Katrina Burton,Segun,Smartwatch,2,200
2020-08-04,433,Sara Burns,Segun,,4,
2021-12-01,480,Larry Humphrey,Andiswa,Gaming Console,5,987
2023-10-25,12,Nicole Fritz,Segun,Bluetooth Keyboard,3,100
2019-08-23,349,Caitlyn Jacobs,Segun,Wireless Earbuds,4,200
2020-03-30,4,Brandon Paul,James,Robot Vacuum Cleaner,2,250
2021-08-24,109,Jackie Burns,James,,5,
2019-11-08,383,Wendy Todd,Oludare,Bluetooth Keyboard,5,100
2021-05-04,614,Adam Harris,Zolile,,1,
2022-07-01,372,Erica Carter,James,Fitness Tracker,1,430
2022-01-20,581,April Benson,Segun,Tablet,4,900
2019-10-14,779,Kelsey Garcia,Andiswa,Smartwatch,2,200
2022-10-27,970,Joyce Hart,Andiswa,Headphones,3,50
2020-12-17,622,Tanya Palmer,Mbali,,5,
2022-07-25,707,Jamie Myers,Edmund,Wireless Earbuds,4,200
2019-06-20,666,Jonathan Vazquez,Zolile,Smart TV,5,700
2019-05-20,254,Nicholas Glenn,Edmund,Tablet,3,900
2021-02-21,568,Stephanie Hudson,Edmund,Smart Home Hub,2,200
2020-11-28,725,Lisa Harris,Buhari,,1,
2021-08-04,881,David Strong,Zolile,Tablet,5,900
2022-12-28,686,William Henderson,Nolo,Digital Camera,5,780
2023-12-28,958,Shannon Arias,Nolo,Fitness Tracker,4,430
2020-06-12,195,Jamie Hudson,Segun,Desktop Computer,4,1200
2019-03-13,421,Melissa Phillips MD,Nolo,Smartphone,1,760
2022-09-19,746,Teresa Williams DVM,Zolile,Desktop Computer,2,1200
